,varcode,type,russian,english,five_most_popular_values,number_of_valid,number_of_missing
748,rm20.9m,,Когда Вам была назначена инвалидность? Вспомните; пожалуйста; месяц ,When you were appointed as a disability? Remember; please; month,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | Май | Октябрь | Март | Апрель | Июнь,1713,20040
749,rm20.9y,,Когда Вам была назначена инвалидность? Вспомните; пожалуйста; год ,When you were appointed as a disability? Remember; please; year,    2005 |     2012 |     2006 |     2010 |     2013 |     2007,1713,20040
750,rm2.1,,"Как изменился Ваш вес в течение последнего года? *В 2013 году в детском вопроснике добавили слова: ""Если ребенку еще нет года; то как изменился (его\ее) вес с момента рождения?"" ","How has your weight over the past year? * In 2013, in the children's questionnaire added the words: ""If the child is not yet a year, how has changed (his \ her) weight at birth?""",ВЕС НЕ ИЗМЕНИЛСЯ | Вы прибавили в весе | Вы потеряли в весе | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,21753,0
751,rm3,,Как Вы оцениваете Ваше здоровье. Оно у Вас:? ,How do you assess your health. It you :?,"Среднее, не хорошее, но и не плохое | Хорошее | Плохое | Очень хорошее | Совсем плохое | НЕТ ОТВЕТА",21753,0
752,rm39,,В течение последних 12 месяцев Вам делали хирургические операции? ,Over the past 12 months did you surgeries?,Нет | Да | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,17954,3799
753,rm43,,Говорил ли Вам когда-нибудь врач; что у Вас диабет или повышенный сахар в крови? ,Say whether you've ever had a doctor; that you have diabetes or high blood sugar?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА,21753,0
754,rm46,,"Ставили Вам когда-нибудь диагноз ""инфаркт миокарда""? ","Put you ever been diagnosed with ""myocardial infarction""?",Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,17954,3799
755,rm58.1,,Говорил ли Вам когда-нибудь врач; что у Вас повышенное артериальное давление? ,Say whether you've ever had a doctor; that you have high blood pressure?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА,17954,3799
756,rm59,,Ставил Вам врач диагноз инсульт (кровоизлияние в мозг)? ,You put the doctor diagnosed a stroke (cerebral hemorrhage)?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА,17954,3799
757,rm62,,В течение последних 12 месяцев говорил Вам врач; что у Вас анемия? ,In the last 12 months the doctor told you; that you have anemia?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА | НЕТ ОТВЕТА,17954,3799
758,rm62.1,,Говорил Вам когда-нибудь врач; что у Вас туберкулез? ,I say to you someday doctor; that if you have TB?,Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА,21753,0
759,rm62.3,,"Ставили Вам когда-нибудь диагноз ""гепатит""; ""болезнь Боткина""; ""желтуха""? ","Put you ever been diagnosed with ""hepatitis""; ""infectious disease""; ""jaundice""?",Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,21753,0
760,rm62.5,,Каким типом гепатита Вы болели? ,What type of hepatitis you sick?,Гепатит А | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | Гепатит B {Бэ} | Гепатит С {Цэ} | ДРУГОЕ | НЕТ ОТВЕТА,882,20871
761,rm62.5s,,ДРУГОЕ к rm62.5s - Каким типом гепатита Вы болели? ,To each rm62.5s - What type of hepatitis you sick?,                                                                                                     | Гепатит А и гепатит В                                                                                | Лекарственный гепатит                                                                                | Гепатит В и гепатит С                                                                                | Токсический гепатит                                                                                  |  9-НЕТ ОТВЕТА                                                                                       ,21753,0
762,rm64,,Вы пользуетесь очками или контактными линзами? ,Do you use glasses or contact lenses?,Нет | Да | НЕТ ОТВЕТА,17954,3799
763,rm66,,Вы пользуетесь слуховым аппаратом? ,Do you use a hearing aid?,Нет | Да | НЕТ ОТВЕТА,17954,3799
764,rm71,,Вы курите в настоящее время? ,Do you smoke now?,Нет | Да | ОТКАЗ ОТ ОТВЕТА | НЕТ ОТВЕТА,17954,3799
765,rm72,,Когда Вы начали курить? Сколько Вам тогда было лет? ,When did you start smoking? How old were you then?,1.6e+01 | 1.8e+01 | 1.5e+01 | 1.7e+01 | 1.4e+01 | 2.0e+01,5338,16415
766,rm73,,В течение последних 7 дней Вы курили что-нибудь? ,During the past 7 days did you smoke anything?,Да | Нет | НЕТ ОТВЕТА,5338,16415
767,rm74,,Что Вы в основном курите? Сейчас я перечислю Вам разные виды курева; а Вы скажите; пожалуйста; что Вы курите чаще всего ,What do you mostly smoke? Now I will list you the different types of smokes; and you say; please; that you smoke more often,Сигареты с фильтром | Сигареты без фильтра | Папиросы | Самокрутки | Трубку | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,5338,16415
768,rm75,,Сколько примерно штук сигарет; папирос или трубок Вы обычно выкуриваете за день? ,About how many cigarettes; cigarettes or pipes you usually smoke per day?,2.0e+01 | 1.0e+01 | 1.5e+01 | 5.0e+00 | 3.0e+01 | 4.0e+01,5334,16419
769,rm77,,Вы курили когда-нибудь? ,You ever smoked?,Нет | Да | ОТКАЗ ОТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА,12616,9137
770,rm78,,Сколько лет тому назад Вы бросили курить? ,How many years ago you quit smoking?,0.0e+00 | 1.0e+00 | 3.0e+00 | 2.0e+00 | 1.0e+08 | 5.0e+00,2278,19475
771,rm79,,Вспомните; пожалуйста; когда Вы начали курить? Сколько Вам тогда было лет? ,Remember; please; when you started smoking? How old were you then?,1.8e+01 | 1.6e+01 | 1.7e+01 | 1.5e+01 | 1.0e+08 | 2.0e+01,2278,19475
772,rm80,,В течение последних 30 дней Вы употребляли алкогольные напитки? ,In the last 30 days you drink alcoholic beverages?,Да | Нет | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА | НЕТ ОТВЕТА,11773,9980
773,rm80.0,,Вы употребляете хотя бы иногда алкогольные напитки; включая пиво ,Do you drink at least occasionally alcoholic beverages; including beer,"Да, употребляете | Нет, никогда не употребляете | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА",17954,3799
774,rm80.1,,В течении последних 30 дней Вы употребляли пиво? ,"During the last 30 days, you drink beer?",Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА | НЕТ ОТВЕТА,3760,17993
775,rm81,,Как часто Вы употребляли алкогольные напитки в течение последних 30 дней? ,How often do you drink alcoholic beverages during the past 30 days?,2-3 раза в течение последних 30 дней | Один раз в течение последних 30 дней | Один раз в неделю | 2-3 раза в неделю | 4-6 раз в неделю | Каждый день,8278,13475
776,rm82.1,,Вы пьете алкогольные напитки до еды? ,Do you drink alcoholic beverages before a meal?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,8278,13475
777,rm82.2,,Вы пьете алкогольные напитки во время еды? ,Do you drink alcoholic beverages during meals?,Да | Нет | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,8278,13475
778,rm82.3,,Вы пьете алкогольные напитки без еды? ,Do you drink alcoholic beverages without food?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,8278,13475
779,rm83.1,,Вы пьете алкогольные напитки дома? ,Do you drink alcoholic beverages at home?,Да | Нет | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА,8278,13475
